City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
402,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
403,Lebu,CL,2021-03-12 23:02:28,-37.6167,-73.65,59.23,83,0,16.46
404,Marzuq,YE,2021-03-12 23:03:26,14.4,46.4667,58.51,26,8,5.01
405,Clyde River,CA,2021-03-12 23:02:14,70.4692,-68.5914,-2.2,84,90,19.57
406,Surt,LY,2021-03-12 23:03:27,31.2089,16.5887,57.18,64,25,9.17
407,Castro,BR,2021-03-12 22:58:28,-24.7911,-50.0119,65.43,71,6,2.62
408,Morondava,MG,2021-03-12 23:03:27,-20.2833,44.2833,79.86,76,0,8.14
409,Haverfordwest,GB,2021-03-12 23:01:44,51.8017,-4.9691,45.0,93,100,21.0
410,Vardo,NO,2021-03-12 23:03:28,70.3705,31.1107,23.0,74,75,11.5
411,Mar Del Plata,AR,2021-03-12 23:02:23,-38.0023,-57.5575,64.99,63,0,6.91
412,Santa Marta,CO,2021-03-12 23:02:22,11.2408,-74.199,84.0,64,55,11.01
413,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
414,Salalah,OM,2021-03-12 23:03:29,17.0151,54.0924,71.6,78,0,2.3
415,Gilgit,PK,2021-03-12 23:03:30,35.9221,74.3087,40.28,83,96,1.95
416,Kaura Namoda,NG,2021-03-12 23:03:30,12.5898,6.5779,78.01,14,20,5.91
417,Camacha,PT,2021-03-12 23:03:30,33.0833,-16.3333,60.8,67,75,8.05
418,Jacksonville,US,2021-03-12 23:03:31,30.3322,-81.6556,75.2,56,40,12.66
419,Saldanha,ZA,2021-03-12 23:01:36,-33.0117,17.9442,60.8,88,44,4.61
420,Klaksvik,FO,2021-03-12 23:01:56,62.2266,-6.589,39.2,87,75,11.5
421,Georgetown,MY,2021-03-12 23:01:15,5.4112,100.3354,77.0,94,20,3.44
422,Balkhash,KZ,2021-03-12 23:03:32,46.844,74.9804,19.87,63,100,18.86
423,Torbay,CA,2021-03-12 23:02:18,47.6666,-52.7314,42.01,100,90,35.68
424,Sioux Lookout,CA,2021-03-12 23:02:44,50.1001,-91.917,26.6,36,20,10.36
425,Talara,PE,2021-03-12 23:03:33,-4.5772,-81.2719,82.4,57,0,9.22
426,Piacabucu,BR,2021-03-12 23:01:16,-10.4056,-36.4344,79.18,78,44,10.76
427,Asfi,MA,2021-03-12 23:03:34,32.2994,-9.2372,57.29,86,12,20.24
428,Porto Novo,BJ,2021-03-12 23:03:34,6.4965,2.6036,84.2,84,40,13.8
