City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,Ribeira Grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
191,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
193,Luena,AO,69.15,light rain,-11.7833,19.9167,Hotel Kandamba
195,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
196,Cape Town,ZA,68.0,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
197,Sao Felix Do Xingu,BR,68.74,broken clouds,-6.6447,-51.995,Rio Xingu Camping
200,Katsuura,JP,64.4,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
201,Jamestown,US,37.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
202,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
204,Ribeira Grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
206,Kaitangata,NZ,60.01,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
209,Hermanus,ZA,69.01,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
212,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
213,Jamestown,US,37.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
214,Lagoa,PT,60.3,overcast clouds,39.05,-27.9833,Casa Das Faias
216,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
218,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
224,Kahului,US,69.8,very heavy rain,20.8947,-156.47,Maui Seaside Hotel
225,Punta Arenas,CL,39.2,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
226,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
229,Penzance,GB,46.0,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
230,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
232,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
233,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
236,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
237,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
243,Coahuayana,MX,69.76,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
249,Hofn,IS,32.04,light snow,64.2539,-15.2082,Hótel Höfn
252,Pisco,PE,69.01,mist,-13.7,-76.2167,Hotel San Isidro Oficial
253,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
256,Hobart,AU,59.0,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
257,Punta Arenas,CL,39.2,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
258,Frontera,MX,68.43,few clouds,26.9333,-101.45,Casagrande Hotel
260,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
262,Northam,GB,50.0,scattered clouds,51.0333,-4.2167,Durrant House Hotel
263,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
265,Fort Smith,US,57.2,overcast clouds,35.3859,-94.3986,Hampton Inn by Hilton Fort Smith
272,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
278,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
281,Ribeira Grande,PT,60.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
283,Lata,PT,55.0,clear sky,40.1629,-8.3327,Casa Maquia
284,Hofn,IS,32.04,light snow,64.2539,-15.2082,Hótel Höfn
285,Alihe,CN,43.74,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
